TenantId,ActionType,AdditionalFields,AppGuardContainerId,DeviceId,DeviceName,FileName,FileOriginIP,FileOriginReferrerUrl,FileOriginUrl,FileSize,FolderPath,InitiatingProcessAccountDomain,InitiatingProcessAccountName,InitiatingProcessAccountObjectId,InitiatingProcessAccountSid,InitiatingProcessAccountUpn,InitiatingProcessCommandLine,InitiatingProcessFileName,InitiatingProcessFolderPath,InitiatingProcessId,InitiatingProcessIntegrityLevel,InitiatingProcessMD5,InitiatingProcessParentFileName,InitiatingProcessParentId,InitiatingProcessSHA1,InitiatingProcessSHA256,InitiatingProcessTokenElevation,IsAzureInfoProtectionApplied,MD5,MachineGroup,PreviousFileName,PreviousFolderPath,ReportId,RequestAccountDomain,RequestAccountName,RequestAccountSid,RequestProtocol,RequestSourceIP,RequestSourcePort,SHA1,SHA256,SensitivityLabel,SensitivitySubLabel,ShareName,"Timestamp [UTC]","TimeGenerated [UTC]","InitiatingProcessParentCreationTime [UTC]","InitiatingProcessCreationTime [UTC]",InitiatingProcessFileSize,InitiatingProcessVersionInfoCompanyName,InitiatingProcessVersionInfoFileDescription,InitiatingProcessVersionInfoInternalFileName,InitiatingProcessVersionInfoOriginalFileName,InitiatingProcessVersionInfoProductName,InitiatingProcessVersionInfoProductVersion,InitiatingProcessSessionId,IsInitiatingProcessRemoteSession,InitiatingProcessRemoteSessionDeviceName,InitiatingProcessRemoteSessionIP,SourceSystem,Type
"0d5eeaad-cb89-457a-ae38-d182066dd724",FileCreated,"{""FileType"":""Unknown""}",,42ee1f026466c17a346cd82bd3526862722163d3,"cns-sa-47","01D81186E0AAA800.sysmain.sdb",,,,32144,"C:\Windows\apppatch\MergeSdbFiles\01D81186E0AAA800.sysmain.sdb","nt authority",system,,"S-1-5-18",,"sdbinst.exe -m -bg","sdbinst.exe","c:\windows\system32\sdbinst.exe",18276,System,e2a10e8403c021d6894fcce3a50bb6e9,"svchost.exe",12556,04af3e9d00b63ab2825f3d750ee102808810f512,7e6b42af9d8b1e1a4efdeeb152997c7c9bbfa010b2fce65bef29a2903819e0e5,TokenElevationTypeDefault,false,71e5f67084b61a04fecc6e0154385340,,,,54077,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,baf492b05435a272d7fd6fb2ff1819e6d1cdbfd8,df4e130916d04aab24eca6719bb6e6a1056be354f542e398ad60c2b635a48cb4,,,,"10/12/2024, 22:38:03.127","10/12/2024, 22:38:03.127","09/12/2024, 07:40:28.101","10/12/2024, 22:38:03.075",212992,"Microsoft Corporation","Application Compatibility Database Installer","sdbinst.exe","sdbinst.exe","Microsoft® Windows® Operating System","10.0.22621.3527",0,false,,,,DeviceFileEvents
"0d5eeaad-cb89-457a-ae38-d182066dd724",FileCreated,"{""FileType"":""Unknown""}",,42ee1f026466c17a346cd82bd3526862722163d3,"cns-sa-47","01D81186E0AAA800.msimain.sdb",,,,1148,"C:\Windows\apppatch\MergeSdbFiles\01D81186E0AAA800.msimain.sdb","nt authority",system,,"S-1-5-18",,"sdbinst.exe -m -bg","sdbinst.exe","c:\windows\system32\sdbinst.exe",18276,System,e2a10e8403c021d6894fcce3a50bb6e9,"svchost.exe",12556,04af3e9d00b63ab2825f3d750ee102808810f512,7e6b42af9d8b1e1a4efdeeb152997c7c9bbfa010b2fce65bef29a2903819e0e5,TokenElevationTypeDefault,false,7c42de5b83a147a3d1122b7c7a414248,,,,54078,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,6a341745fdaa7c90ef2a26ab053f7f8c0da95b83,09dc717c38b7a2c718e9cc2b4b08d17577b862b651b5c80abf96847fea1ba1a7,,,,"10/12/2024, 22:38:03.133","10/12/2024, 22:38:03.133","09/12/2024, 07:40:28.101","10/12/2024, 22:38:03.075",212992,"Microsoft Corporation","Application Compatibility Database Installer","sdbinst.exe","sdbinst.exe","Microsoft® Windows® Operating System","10.0.22621.3527",0,false,,,,DeviceFileEvents
"0d5eeaad-cb89-457a-ae38-d182066dd724",FileCreated,"{""FileType"":""Unknown""}",,45ca321c8305d6153c1fa19ab0d9c85ff7717b52,"cns-azuk-sql1.mpclondon.local","GuestAgentRegKey.xml",,,,601,"D:\CollectGuestLogsTemp\GuestAgentRegKey.xml","nt authority",system,,"S-1-5-18",,"""CollectGuestLogs.exe"" -Mode:ga -FileName:D:\CollectGuestLogsTemp\VMAgentLogs.zip","collectguestlogs.exe","c:\windowsazure\guestagent_2.7.41491.1095_2023-09-02_010254\collectguestlogs.exe",17228,System,c7884c8286969cb2e6cf7322f1ca82bc,"WaAppAgent.exe",2876,433aaa504366752b244aa3b9748edaa00fe90b94,1f581c8085e0844c951c39699460fa8f6fd51ab0b719134ea9389c872c5708c4,TokenElevationTypeDefault,false,b36c714555f7e7a6be8a96763cc37a48,,,,60550,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,e3cda75818e007f52bc86978624cc3321af3891c,7944b04e1468eb9c050afe1de13c47f378d467d83b777c676747cee4fb17564a,,,,"10/12/2024, 22:40:19.594","10/12/2024, 22:40:19.594","07/12/2024, 02:02:10.494","10/12/2024, 22:40:16.545",97976,azgaext,CollectGuestLogs,"CollectGuestLogs.exe","CollectGuestLogs.exe",CollectGuestLogs,"3.0.02370.28",0,false,,,,DeviceFileEvents
"0d5eeaad-cb89-457a-ae38-d182066dd724",FileCreated,"{""FileType"":""Unknown""}",,45ca321c8305d6153c1fa19ab0d9c85ff7717b52,"cns-azuk-sql1.mpclondon.local","KvpRegKey.xml",,,,8870,"D:\CollectGuestLogsTemp\KvpRegKey.xml","nt authority",system,,"S-1-5-18",,"""CollectGuestLogs.exe"" -Mode:ga -FileName:D:\CollectGuestLogsTemp\VMAgentLogs.zip","collectguestlogs.exe","c:\windowsazure\guestagent_2.7.41491.1095_2023-09-02_010254\collectguestlogs.exe",17228,System,c7884c8286969cb2e6cf7322f1ca82bc,"WaAppAgent.exe",2876,433aaa504366752b244aa3b9748edaa00fe90b94,1f581c8085e0844c951c39699460fa8f6fd51ab0b719134ea9389c872c5708c4,TokenElevationTypeDefault,false,81d709c66875718fb74ef6b1a0b39c6b,,,,60549,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,b8cd5a3d321a6df8dced25ebb03a263d915a4915,98aef0244350b1d2a3283e622e8706ec9631df4425bd90427a0b401fcdb73e98,,,,"10/12/2024, 22:40:19.450","10/12/2024, 22:40:19.450","07/12/2024, 02:02:10.494","10/12/2024, 22:40:16.545",97976,azgaext,CollectGuestLogs,"CollectGuestLogs.exe","CollectGuestLogs.exe",CollectGuestLogs,"3.0.02370.28",0,false,,,,DeviceFileEvents
"0d5eeaad-cb89-457a-ae38-d182066dd724",FileRenamed,"{""FileType"":""Unknown""}",,d94c213bcda824928d48aa7080dd7d35aa91b4f7,"cns-238103","pkcs3-2-1024.der",,,,138,"C:\Program Files\OpenSSL-Win64\tests\recipes\20-test_dhparam_data\pkcs3-2-1024.der","nt authority",system,,"S-1-5-18",,"""Win64OpenSSL-3_4_0.tmp"" /SL5=""$4E0134,231603026,58368,C:\Windows\IMECache\56d2b4be-51f5-4cab-b520-6f97c3289bac_1\Win64OpenSSL-3_4_0.exe"" /VERYSILENT /SUPPRESSMSGBOXES /LOG=C:\ProgramData\PatchMyPCInstallLogs\CNS-238103-Win64OpenSSL-3_4_0.exe.log","win64openssl-3_4_0.tmp","c:\windows\temp\is-27lro.tmp\win64openssl-3_4_0.tmp",11168,System,1afbd25db5c9a90fe05309f7c4fbcf09,"Win64OpenSSL-3_4_0.exe",23480,baf330b5c249ca925b4ea19a52fe8b2c27e547fa,3bb0ee5569fe5453c6b3fa25aa517b925d4f8d1f7ba3475e58fa09c46290658c,TokenElevationTypeDefault,false,5c6f0dabec34c69e4bb93e83a3b10613,,"is-0PBC9.tmp","C:\Program Files\OpenSSL-Win64\tests\recipes\20-test_dhparam_data",116065,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,d0c8117337a16ce8be968343c7721cc80bf9696a,829d6ece1e121488a60aaa913045072510be125ffe01e13c1f58a2ded32082e7,,,,"10/12/2024, 22:35:23.029","10/12/2024, 22:35:23.029","10/12/2024, 22:31:10.771","10/12/2024, 22:31:22.281",719360,,"Setup/Uninstall",,,,,0,false,,,,DeviceFileEvents
"0d5eeaad-cb89-457a-ae38-d182066dd724",FileRenamed,"{""FileType"":""Unknown""}",,d94c213bcda824928d48aa7080dd7d35aa91b4f7,"cns-238103","pkcs3-5-1024.der",,,,138,"C:\Program Files\OpenSSL-Win64\tests\recipes\20-test_dhparam_data\pkcs3-5-1024.der","nt authority",system,,"S-1-5-18",,"""Win64OpenSSL-3_4_0.tmp"" /SL5=""$4E0134,231603026,58368,C:\Windows\IMECache\56d2b4be-51f5-4cab-b520-6f97c3289bac_1\Win64OpenSSL-3_4_0.exe"" /VERYSILENT /SUPPRESSMSGBOXES /LOG=C:\ProgramData\PatchMyPCInstallLogs\CNS-238103-Win64OpenSSL-3_4_0.exe.log","win64openssl-3_4_0.tmp","c:\windows\temp\is-27lro.tmp\win64openssl-3_4_0.tmp",11168,System,1afbd25db5c9a90fe05309f7c4fbcf09,"Win64OpenSSL-3_4_0.exe",23480,baf330b5c249ca925b4ea19a52fe8b2c27e547fa,3bb0ee5569fe5453c6b3fa25aa517b925d4f8d1f7ba3475e58fa09c46290658c,TokenElevationTypeDefault,false,db0e7d8b5ad4eafeb0571160f78efba0,,"is-TE5RP.tmp","C:\Program Files\OpenSSL-Win64\tests\recipes\20-test_dhparam_data",116067,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,a7d852a97acdd60a816f5d6f67374981b2d76a1a,f575a0e0993a7285cfaad894f603000e37494f309b9b8acea8b69b61c862bae0,,,,"10/12/2024, 22:35:23.311","10/12/2024, 22:35:23.311","10/12/2024, 22:31:10.771","10/12/2024, 22:31:22.281",719360,,"Setup/Uninstall",,,,,0,false,,,,DeviceFileEvents
"0d5eeaad-cb89-457a-ae38-d182066dd724",FileRenamed,"{""FileType"":""Unknown""}",,d94c213bcda824928d48aa7080dd7d35aa91b4f7,"cns-238103","pkcs3-2-2048.der",,,,268,"C:\Program Files\OpenSSL-Win64\tests\recipes\20-test_dhparam_data\pkcs3-2-2048.der","nt authority",system,,"S-1-5-18",,"""Win64OpenSSL-3_4_0.tmp"" /SL5=""$4E0134,231603026,58368,C:\Windows\IMECache\56d2b4be-51f5-4cab-b520-6f97c3289bac_1\Win64OpenSSL-3_4_0.exe"" /VERYSILENT /SUPPRESSMSGBOXES /LOG=C:\ProgramData\PatchMyPCInstallLogs\CNS-238103-Win64OpenSSL-3_4_0.exe.log","win64openssl-3_4_0.tmp","c:\windows\temp\is-27lro.tmp\win64openssl-3_4_0.tmp",11168,System,1afbd25db5c9a90fe05309f7c4fbcf09,"Win64OpenSSL-3_4_0.exe",23480,baf330b5c249ca925b4ea19a52fe8b2c27e547fa,3bb0ee5569fe5453c6b3fa25aa517b925d4f8d1f7ba3475e58fa09c46290658c,TokenElevationTypeDefault,false,9287aca9816dddd5495a5ac93312a23b,,"is-1QRVH.tmp","C:\Program Files\OpenSSL-Win64\tests\recipes\20-test_dhparam_data",116066,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,f7ce88df6d967013f270a9d1ba1c776688100a1c,714e72ecdb73bff435fc3db471aaebe862a74f0e13a2fa62efe93398df1e8239,,,,"10/12/2024, 22:35:23.130","10/12/2024, 22:35:23.130","10/12/2024, 22:31:10.771","10/12/2024, 22:31:22.281",719360,,"Setup/Uninstall",,,,,0,false,,,,DeviceFileEvents
"0d5eeaad-cb89-457a-ae38-d182066dd724",FileRenamed,"{""FileType"":""Unknown""}",,d94c213bcda824928d48aa7080dd7d35aa91b4f7,"cns-238103","EC.pub.der",,,,91,"C:\Program Files\OpenSSL-Win64\tests\recipes\30-test_evp_pkey_provided\EC.pub.der","nt authority",system,,"S-1-5-18",,"""Win64OpenSSL-3_4_0.tmp"" /SL5=""$4E0134,231603026,58368,C:\Windows\IMECache\56d2b4be-51f5-4cab-b520-6f97c3289bac_1\Win64OpenSSL-3_4_0.exe"" /VERYSILENT /SUPPRESSMSGBOXES /LOG=C:\ProgramData\PatchMyPCInstallLogs\CNS-238103-Win64OpenSSL-3_4_0.exe.log","win64openssl-3_4_0.tmp","c:\windows\temp\is-27lro.tmp\win64openssl-3_4_0.tmp",11168,System,1afbd25db5c9a90fe05309f7c4fbcf09,"Win64OpenSSL-3_4_0.exe",23480,baf330b5c249ca925b4ea19a52fe8b2c27e547fa,3bb0ee5569fe5453c6b3fa25aa517b925d4f8d1f7ba3475e58fa09c46290658c,TokenElevationTypeDefault,false,e3f77fdf20d9abd322ba07f95121083e,,"is-MM386.tmp","C:\Program Files\OpenSSL-Win64\tests\recipes\30-test_evp_pkey_provided",116075,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,58d02459fe968488f8937b47d8e8bd5e98046e7b,7e66a28d34cd468dce6dc90bfa4721eaf5d04db068d3c2155fb15e4f521ab854,,,,"10/12/2024, 22:35:32.364","10/12/2024, 22:35:32.364","10/12/2024, 22:31:10.771","10/12/2024, 22:31:22.281",719360,,"Setup/Uninstall",,,,,0,false,,,,DeviceFileEvents
"0d5eeaad-cb89-457a-ae38-d182066dd724",FileRenamed,"{""FileType"":""Unknown""}",,d94c213bcda824928d48aa7080dd7d35aa91b4f7,"cns-238103","x942-0-1024.der",,,,319,"C:\Program Files\OpenSSL-Win64\tests\recipes\20-test_dhparam_data\x942-0-1024.der","nt authority",system,,"S-1-5-18",,"""Win64OpenSSL-3_4_0.tmp"" /SL5=""$4E0134,231603026,58368,C:\Windows\IMECache\56d2b4be-51f5-4cab-b520-6f97c3289bac_1\Win64OpenSSL-3_4_0.exe"" /VERYSILENT /SUPPRESSMSGBOXES /LOG=C:\ProgramData\PatchMyPCInstallLogs\CNS-238103-Win64OpenSSL-3_4_0.exe.log","win64openssl-3_4_0.tmp","c:\windows\temp\is-27lro.tmp\win64openssl-3_4_0.tmp",11168,System,1afbd25db5c9a90fe05309f7c4fbcf09,"Win64OpenSSL-3_4_0.exe",23480,baf330b5c249ca925b4ea19a52fe8b2c27e547fa,3bb0ee5569fe5453c6b3fa25aa517b925d4f8d1f7ba3475e58fa09c46290658c,TokenElevationTypeDefault,false,4e8e538c33067ac3914720eb576fdc0c,,"is-DCC0N.tmp","C:\Program Files\OpenSSL-Win64\tests\recipes\20-test_dhparam_data",116068,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,c1f5cfbbfc8105de054d656256cebc3a1e398871,ccb21281df4a86a6c08f0eb7e846a668e96fdb3d9c68d50b9692621902168647,,,,"10/12/2024, 22:35:23.402","10/12/2024, 22:35:23.402","10/12/2024, 22:31:10.771","10/12/2024, 22:31:22.281",719360,,"Setup/Uninstall",,,,,0,false,,,,DeviceFileEvents
"0d5eeaad-cb89-457a-ae38-d182066dd724",FileRenamed,"{""FileType"":""Unknown""}",,d94c213bcda824928d48aa7080dd7d35aa91b4f7,"cns-238103","DSA.priv.der",,,,617,"C:\Program Files\OpenSSL-Win64\tests\recipes\30-test_evp_pkey_provided\DSA.priv.der","nt authority",system,,"S-1-5-18",,"""Win64OpenSSL-3_4_0.tmp"" /SL5=""$4E0134,231603026,58368,C:\Windows\IMECache\56d2b4be-51f5-4cab-b520-6f97c3289bac_1\Win64OpenSSL-3_4_0.exe"" /VERYSILENT /SUPPRESSMSGBOXES /LOG=C:\ProgramData\PatchMyPCInstallLogs\CNS-238103-Win64OpenSSL-3_4_0.exe.log","win64openssl-3_4_0.tmp","c:\windows\temp\is-27lro.tmp\win64openssl-3_4_0.tmp",11168,System,1afbd25db5c9a90fe05309f7c4fbcf09,"Win64OpenSSL-3_4_0.exe",23480,baf330b5c249ca925b4ea19a52fe8b2c27e547fa,3bb0ee5569fe5453c6b3fa25aa517b925d4f8d1f7ba3475e58fa09c46290658c,TokenElevationTypeDefault,false,be773a169b11ca592ea8f45feeeab2b7,,"is-3E1KO.tmp","C:\Program Files\OpenSSL-Win64\tests\recipes\30-test_evp_pkey_provided",116072,"NT AUTHORITY",SYSTEM,"S-1-5-18",Local,,,3919651ee4dd5f76d42e59c95d5f5a24a4c58765,8e15cf56e7a07448dc991ba70db07ba857ac187312b7a6004fe3c1d969301f83,,,,"10/12/2024, 22:35:32.151","10/12/2024, 22:35:32.151","10/12/2024, 22:31:10.771","10/12/2024, 22:31:22.281",719360,,"Setup/Uninstall",,,,,0,false,,,,DeviceFileEvents
